GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
1012,2017-03-15,WAS,DAL,107,112
1013,2017-03-16,ATL,MEM,91,103
1014,2017-03-16,CLE,UTA,91,83
1015,2017-03-16,DEN,LAC,129,114
1016,2017-03-16,GSW,ORL,122,92
1017,2017-03-16,NYK,BRK,110,121
1018,2017-03-16,TOR,OKC,102,123
1019,2017-03-17,BRK,BOS,95,98
1020,2017-03-17,DET,TOR,75,87
1021,2017-03-17,LAL,MIL,103,107
1022,2017-03-17,MIA,MIN,123,105
1023,2017-03-17,NOP,HOU,128,112
1024,2017-03-17,PHI,DAL,116,74
1025,2017-03-17,PHO,ORL,103,109
1026,2017-03-17,WAS,CHI,112,107
1027,2017-03-18,ATL,POR,97,113
1028,2017-03-18,CHI,UTA,95,86
1029,2017-03-18,CHO,WAS,98,93
1030,2017-03-18,DEN,HOU,105,109
1031,2017-03-18,GSW,MIL,117,92
1032,2017-03-18,LAC,CLE,108,78
1033,2017-03-18,MEM,SAS,104,96
1034,2017-03-18,OKC,SAC,110,94
1035,2017-03-19,BRK,DAL,104,111
1036,2017-03-19,DET,PHO,112,95
1037,2017-03-19,LAL,CLE,120,125
1038,2017-03-19,MIA,POR,104,115
1039,2017-03-19,NOP,MIN,123,109
1040,2017-03-19,PHI,BOS,105,99
1041,2017-03-19,SAS,SAC,118,102
1042,2017-03-19,TOR,IND,116,91
1043,2017-03-20,BOS,WAS,110,102
1044,2017-03-20,CHO,ATL,105,90
1045,2017-03-20,HOU,DEN,125,124
1046,2017-03-20,IND,UTA,107,100
1047,2017-03-20,LAC,NYK,114,105
1048,2017-03-20,OKC,GSW,95,111
1049,2017-03-20,ORL,PHI,112,109
1050,2017-03-21,BRK,DET,98,96
1051,2017-03-21,DAL,GSW,87,112
1052,2017-03-21,LAL,LAC,109,133
1053,2017-03-21,MIA,PHO,112,97
1054,2017-03-21,MIN,SAS,93,100
1055,2017-03-21,NOP,MEM,95,82
1056,2017-03-21,POR,MIL,90,93
1057,2017-03-21,TOR,CHI,122,120
1058,2017-03-22,BOS,IND,109,100
1059,2017-03-22,CHI,DET,117,95
1060,2017-03-22,DEN,CLE,126,113
1061,2017-03-22,OKC,PHI,122,97
1062,2017-03-22,ORL,CHO,102,109
1063,2017-03-22,SAC,MIL,98,116
1064,2017-03-22,UTA,NYK,108,101
1065,2017-03-22,WAS,ATL,104,100
1066,2017-03-23,BRK,PHO,126,98
1067,2017-03-23,DAL,LAC,97,95
1068,2017-03-23,MIA,TOR,84,101
1069,2017-03-23,POR,NYK,110,95
1070,2017-03-23,SAS,MEM,97,90
1071,2017-03-24,BOS,PHO,130,120
1072,2017-03-24,CHI,PHI,107,117
1073,2017-03-24,CHO,CLE,105,112
1074,2017-03-24,GSW,SAC,114,100
1075,2017-03-24,HOU,NOP,117,107
1076,2017-03-24,IND,DEN,117,125
1077,2017-03-24,LAL,MIN,130,119
1078,2017-03-24,MIL,ATL,100,97
1079,2017-03-24,ORL,DET,115,87
1080,2017-03-24,WAS,BRK,129,108
